"","name","syllable.duration","syllable.start","syllable.end","mean.amplitude","mean.pitch","mean.FM","mean.AM.2","mean.entropy","mean.pitch.goodness","mean.mean.freq","var.pitch","var.FM","var.entropy","var.pitch.goodness","var.mean.freq","var.AM","month","day","hour","minute","second","cluster","file.name","comments"
"1","-","94.7846","422.041",516.8256,"35.5","612","15.9","-0.0007","-3.16","499.4","2202","560000","494","0.582027","69600","53000","0.00617","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"2","-","51.8821","797.188",849.0701,"29.8","512","32.7","-0.00206","-2.09","412.2","2509","461000","584","0.122839","68100","699000","0.00639","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"3","-","46.8934","1150.39",1197.2834,"28.1","551","21.5","-0.00242","-1.65","303.6","1895","504000","451","0.0532003","27900","844000","0.00533","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"4","-","44.898","1442.72",1487.618,"29.1","537","28.1","-0.00218","-2.1","447.8","2079","521000","601","0.253646","60400","930000","0.00465","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"5","-","40.907","1797.91",1838.817,"28.4","525","25","-0.00185","-2.05","412.6","1939","466000","439","0.173276","55900","800000","0.00474","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"6","-","47.8912","2076.28",2124.1712,"30.2","537","28.1","-0.00147","-2.7","233.9","1929","689000","522","0.372338","16600","936000","0.00638","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"7","-","47.8912","2287.8",2335.6912,"30.3","537","21.3","-0.00187","-2.65","464.3","2089","637000","491","0.397659","83000","478000","0.00478","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"8","-","51.8821","2431.47",2483.3521,"30.8","537","25.8","-0.00252","-2.54","379.4","2172","503000","601","0.339818","57900","529000","0.00568","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"9","-","52.8798","2544.22",2597.0998,"31.4","537","23.3","-0.0013","-2.91","358.3","2082","459000","485","0.305324","26400","705000","0.00352","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"10","-","90.7936","2628.03",2718.8236,"40.6","612","41.6","-0.00071","-2.32","340.4","2566","1365000","560","0.193593","64900","764000","0.00494","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"11","-","67.8458","2747.76",2815.6058,"38.4","700","54.5","-0.00132","-2.53","358.1","2706","1329000","530","0.857494","49400","712000","0.00545","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"12","-","135.692","2831.56",2967.252,"41.6","760","44.6","-0.0011","-1.87","381.7","2908","1144000","662","0.331267","57300","125000","0.00133","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"13","-","83.8095","2992.2",3076.0095,"45.1","565","26.5","-0.00067","-4.22","338.1","3133","2018000","796","0.815668","62300","195000","0.00695","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"14","-","200.544","3076.01",3276.554,"41.4","1102","45.3","-0.00146","-2.86","188.5","3355","7401000","698","1.80131","15300","264000","0.00109","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"15","-","53.8776","3567.89",3621.7676,"31.4","525","23.6","-0.0007","-2.49","415.5","2079","285000","274","0.471799","39100","830000","0.00452","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"16","-","93.7868","3653.7",3747.4868,"41.7","595","38.5","-0.00088","-2.44","285.4","2587","1190000","647","0.299738","34600","750000","0.00489","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"17","-","71.8367","3772.43",3844.2667,"40.3","689","51.1","-0.00039","-2.5","342.1","2745","1240000","573","0.929523","45500","605000","0.00535","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"18","-","135.692","3860.23",3995.922,"42.1","735","42.5","-0.00077","-1.81","362.2","3084","959000","635","0.324428","64400","200000","0.0014","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"19","-","84.8073","4019.86",4104.6673,"45","1102","24.9","-0.00031","-4.22","283.3","3007","1881000","725","0.774616","39300","214000","0.00476","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"20","-","203.537","4104.67",4308.207,"42.1","918","43.7","-0.00095","-2.82","197.6","3255","6288000","723","1.76229","18300","275000","0.00108","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"21","-","52.8798","4741.22",4794.0998,"31.1","525","26.6","-0.00228","-2.43","450.1","2419","355000","425","0.44511","85600","745000","0.0047","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"22","-","94.7846","4825.03",4919.8146,"42.7","668","41.8","-0.00064","-2.46","342.5","2738","1777000","551","0.231504","109400","720000","0.00505","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
